name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility
Purim in Hackney,failed,0.2068356472696531,2.0,8.0,9.0,6.0,4.0,5.0,8.0,7.0
Armchair Boogie's New Album: What Does Time Care?,successful,1.9770613965046535,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0
MatchBack.org - Look Good. Feel Good. Do Good.,successful,4.267125000159981,8.0,6.0,9.0,7.0,4.0,8.0,6.0,7.0
VACANZAÂ® Shirts 360Ë STRETCH | 16 features,successful,3.6618628722897597,8.0,9.0,9.0,8.0,6.0,7.0,4.0,8.0
"Be a part of Chain Station's next album, ""Backroads""!",successful,1.7318180671352157,6.0,8.0,9.0,7.0,6.0,5.0,4.0,7.0
Pint & a Half Studio Album: Not to Forget,successful,2.547314915754235,6.0,8.0,7.0,4.0,6.0,5.0,4.0,7.0
'Prayer & Vulnerability' A New Album and Book by Strahan,successful,1.9828448945383348,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0
"The Launch of ""Deadbeat""",successful,1.5096915054752502,6.0,8.0,7.0,4.0,5.0,3.0,6.0,7.0
"Summer Arts Study in Tuscany, Italy",successful,1.0180593493715295,2.0,6.0,8.0,4.0,2.0,1.0,6.0,7.0
MOTHER'S RIGHT,successful,2.934837083672975,9.0,6.0,8.0,7.0,5.0,4.0,3.0,6.0
"""KABUKIMONO"" The way to Edinburgh Festival Fringe",successful,1.1810438367260867,2.0,6.0,8.0,7.0,4.0,3.0,6.0,5.0
Phoenix Based T-Shirt Company,successful,2.7518800950183033,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0
Sidewalk Talk,successful,1.9556310206707195,8.0,4.0,9.0,6.0,5.0,2.0,6.0,7.0
Tulane Survivor Friendly Window Painting,successful,2.776283452088429,8.0,2.0,6.0,2.0,4.0,1.0,6.0,5.0
The Lakewood Jacket: the most customizable jacket ever,successful,1.167604723310306,6.0,8.0,9.0,7.0,4.0,6.0,8.0,8.0
