name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility,staff_pick,prelaunch_activated,video_present,duration_days,prep_time_days
Purim in Hackney,failed,4.392289405724713,2.0,8.0,9.0,6.0,4.0,5.0,8.0,7.0,0,1,1,27.0,8.110011574074074
Armchair Boogie's New Album: What Does Time Care?,successful,0.37220143237477243,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,1,0,1,35.0,91.83131944444445
MatchBack.org - Look Good. Feel Good. Do Good.,successful,0.43988230164396014,8.0,6.0,9.0,7.0,4.0,8.0,6.0,7.0,0,0,1,22.086909722222224,11.34681712962963
VACANZAÂ® Shirts 360Ë STRETCH | 16 features,successful,1.4242237466196106,8.0,9.0,9.0,8.0,6.0,7.0,4.0,8.0,0,0,1,38.0,128.15649305555556
"Be a part of Chain Station's next album, ""Backroads""!",successful,0.8441180399433457,6.0,8.0,9.0,7.0,6.0,5.0,4.0,7.0,0,0,1,30.0,94.86081018518519
Pint & a Half Studio Album: Not to Forget,successful,0.6855271858076517,6.0,8.0,7.0,4.0,6.0,5.0,4.0,7.0,0,0,1,30.02136574074074,20.084027777777777
'Prayer & Vulnerability' A New Album and Book by Strahan,successful,0.8265113557303216,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,0,0,1,30.214907407407406,69.13942129629629
"The Launch of ""Deadbeat""",successful,2.4462830148026105,6.0,8.0,7.0,4.0,5.0,3.0,6.0,7.0,0,0,1,27.771319444444444,30.469930555555557
"Summer Arts Study in Tuscany, Italy",successful,1.1020305366446015,2.0,6.0,8.0,4.0,2.0,1.0,6.0,7.0,0,0,0,32.99355324074074,3.848263888888889
MOTHER'S RIGHT,successful,1.1684068538190495,9.0,6.0,8.0,7.0,5.0,4.0,3.0,6.0,0,0,1,30.991875,80.50474537037037
"""KABUKIMONO"" The way to Edinburgh Festival Fringe",successful,1.7526866208137115,2.0,6.0,8.0,7.0,4.0,3.0,6.0,5.0,0,0,1,30.0,0.013506944444444445
Phoenix Based T-Shirt Company,successful,0.8192107838805185,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,0,0,1,30.0,9.943055555555556
Sidewalk Talk,successful,1.1285626022814355,8.0,4.0,9.0,6.0,5.0,2.0,6.0,7.0,0,0,1,30.0,15.728900462962963
Tulane Survivor Friendly Window Painting,successful,2.1778726995046895,8.0,2.0,6.0,2.0,4.0,1.0,6.0,5.0,0,0,1,22.0,1.0587615740740741
The Lakewood Jacket: the most customizable jacket ever,successful,0.6371052243133513,6.0,8.0,9.0,7.0,4.0,6.0,8.0,8.0,0,0,1,31.0,49.11055555555556
The World's Most Sustainable and Comfortable Bicycle Jersey,successful,0.8424849047939642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,31.987719907407406,98.26131944444444
Running Shirt w/ Smartphone Pocket and Reflective Material,successful,0.8865048907705197,8.0,6.0,9.0,7.0,5.0,6.0,4.0,7.0,0,0,1,30.0,80.80241898148148
Sea Turtle Hat is here! You asked for it. Now wear it out.,successful,0.3464834318185883,4.0,8.0,9.0,6.0,5.0,7.0,8.0,8.0,1,0,1,30.0,155.09998842592591
Folk Music Notebook,successful,0.3069481679693875,8.0,6.0,9.0,7.0,8.0,6.0,4.0,8.0,1,0,1,28.124988425925928,7.904930555555556
Jesse Daniel's Second Album - Produced by Tommy Detamore,successful,1.3392622214935568,6.0,8.0,9.0,7.0,6.0,8.0,8.0,9.0,0,0,1,60.0,76.53224537037038
The Super Fun Passover Seder,successful,0.5950255755946643,6.0,8.0,9.0,8.0,4.0,5.0,6.0,7.0,1,0,0,24.63443287037037,1.6894212962962962
Circus of the Damned,successful,1.4407990458901188,6.0,4.0,7.0,8.0,3.0,2.0,6.0,5.0,0,0,1,30.0,4.094849537037037
